mid,sid,node_i,node_j,utterance,uid
0020,0020_001,0020_012,0020_012,This is a story of boy meets girl.,0020_0000
0020,0020_002,0020_012,0020_012,"The boy, Tom Hansen of Margate, New Jersey, grew up believing that he'd never truly be happy until the day he met his... ""soulmate.""",0020_0001
0020,0020_003,0020_012,0020_012,"This belief stemmed from early exposure to sad British pop music and a total misreading of the movie, ""The Graduate.""",0020_0002
0020,0020_004,0020_012,0020_012,"The girl, Summer Finn of Shinnecock, Michigan, did not share this belief.",0020_0003
0020,0020_005,0020_012,0020_012,"Since the disintegration of her parents' marriage, she'd only loved two things. The first was her long blonde hair. The second was how easily she could cut it off... And feel nothing.",0020_0004
0020,0020_006,0020_012,0020_013,"Tom meets Summer on January 8th in a San Francisco office building. In an instant, he will know she's the one he's been looking for. This is a story of boy meets girl. You should know up front, this is not a love story.",0020_0005
0020,0020_008,0020_007,0020_013,I didn't know who else to call.,0020_0006
0020,0020_008,0020_007,0020_018,You did the right thing. Where is he? Thomas.Rachel? What are you doing here?I'm here to help you.,"0020_0007,0020_0008,0020_0009"
0020,0020_008,0020_011,0020_014,Drink this.What is that?,"0020_0013,0020_0014"
0020,0020_008,0020_014,0020_018,"Help me how?First, put down the plate. Now come here and sit down. The key is not to panic.I think I'm gonna be sick.Vodka.(grimacing at the taste) More. Does Mom know you're here? It's gotta be past 10. 7.Don't worry about it. Start from the beginning. Tell us what happened...","0020_0010,0020_0011,0020_0012,0020_0015,0020_0016,0020_0017"
0020,0020_009,0020_018,0020_018,We spent the whole day together.,0020_0018
0020,0020_010,0020_018,0020_018,We went shopping.,0020_0019
0020,0020_011,0020_018,0020_018,We had coffee.,0020_0020
0020,0020_012,0020_018,0020_018,We saw a film.,0020_0021
0020,0020_013,0020_018,0020_018,We bought music. 8.,0020_0022
0020,0020_014,0020_014,0020_018,I thought it was a great day.And then what happened?,"0020_0023,0020_0024"
0020,0020_015,0020_014,0020_017,I think we should stop seeing each other.,0020_0026
0020,0020_015,0020_017,0020_018,"(to WAITRESS) Um...you know what...let's go crazy, I'll have BOTH.",0020_0025
0020,0020_016,0020_013,0020_017,Did she say why?,0020_0029
0020,0020_016,0020_013,0020_018,Just like that.,0020_0028
0020,0020_016,0020_014,0020_018,Just like that?,0020_0027
0020,0020_017,0020_014,0020_018,That is such a lie!,0020_0035
