mid,sid,node_i,node_j,utterance,uid
0087,0087_000,0087_013,0087_013,"My analyst says I exaggerate my childhood memories, but I swear I was brought up underneath the roller-",0087_0011
0087,0087_000,0087_013,0087_022,"(Puffing on his cigarette and nodding)(His head still down) The universe is expanding.The universe is expanding?(Heartily, looking down at Alvy) It won't be expanding for billions of years yet, Alvy. And we've gotta try to enjoy ourselves while we're here. Uh?","0087_0003,0087_0004,0087_0005,0087_0010"
0087,0087_000,0087_013,0087_037,"(Looking up at the doctor) Well, the universe is everything, and if it's expanding, someday it will break apart and that would be the end of everything!(shouting) What is that your business?What's the point?","0087_0006,0087_0007,0087_0008"
0087,0087_000,0087_022,0087_037,"(To the doctor) He's been depressed. All off a sudden, he can't do anything.(Nodding) Why are you depressed, Alvy?(Nudging Alvy) Tell Dr. Flicker. (Young Alvy sits, his head down. His mother answers for him)(Excited, gesturing with her hands) What has the universe got to do with it? You're here in Brooklyn! Brooklyn is not expanding!","0087_0000,0087_0001,0087_0002,0087_0009"
0087,0087_001,0087_013,0087_013,"-coaster in the Coney Island section of Brooklyn. Maybe that accounts for my personality, which is a little nervous, I think. You know, I have a hyperactive imagination. My mind tends to jump around a little, and have some trouble between fantasy and reality. My father ran the bumper-car concession. (Alvy as a child moves into the frame driving a bumper car. He stops as other cars bombard him. His father continues to direct the traffic)",0087_0012
0087,0087_002,0087_013,0087_013,"I remember the staff at our public school. You know, we had a saying, uh, that ""Those who can't do, teach, and those who can't teach, teach gym."" And ...uh, h'h, of course, those who couldn't do anything, I think, were assigned to our school. I must say- I always felt my schoolmates were idiots. Melvyn Greenglass, you know, fat little face, and Henrietta Farrell, just Miss Perfect all the time. And-and Ivan Ackerman, always the wrong answer. Always.(Still sitting in the back of the classroom)(Still standing next to the teacher) Tell the folks where you are today, Donald.Right. Sometimes I wonder where my classmates are today.","0087_0013,0087_0024,0087_0028,0087_0030"
0087,0087_002,0087_013,0087_044,"Even then I knew they were just jerks. (The camera moves back to the teacher, who is glaring out at her students)(Off screen) That's the second time this month! Step up here!What'd I do?Step up here!What'd I do?You should be ashamed of yourself.(First off screen, then onscreen as camera moves over to the back of the classroom)(The younger, Alvy standing next to her) Six-year-old boys don't have girls on their minds.(Gesturing) Well, I never had a latency period. I can't help it.(With young, Alvy still at her side) Why couldn't you have been more like Donald? (The camera pans over to Donald, sitting up tall in his seat, then back to the teacher)","0087_0015,0087_0017,0087_0018,0087_0019,0087_0020,0087_0021,0087_0022,0087_0023,0087_0026,0087_0027"
0087,0087_003,0087_013,0087_013,"I lost track of most of my old schoolmates, but I wound up a comedian. They did not take me in the Army. I was, uh ... Interestingly enough, I was-I was four-P.",0087_0035
0087,0087_003,0087_013,0087_037,"Yes. In-in-in-in the event of war, I'm a hostage.",0087_0037
0087,0087_004,0087_013,0087_037,"You always only saw the worst in people. You never could get along with anyone at school. You were always outta step with the world. Even when you got famous, you still distrusted the world.'",0087_0038
0087,0087_005,0087_002,0087_013,I'm gonna meet her in front of the Beekman. I think I have a few minutes left. Right?,0087_0055
