mid,sid,node_i,node_j,utterance,uid
0297,0297_000,0297_009,0297_019,"Me too. Okay, let's say it at the same time. One. Two. Three...",0297_0002
0297,0297_000,0297_009,0297_041,"Well, I'm full. You were right, hon. I shouldn't have eaten all that bread. You okay, babe? You seem out of it.Yeah, I'm just thinking about what I want.","0297_0000,0297_0001"
0297,0297_001,0297_019,0297_019,I'm gonna getcha! I'm gonna getcha! She grabs Molly and tickles her. Molly SQUEALS with delight. As she kicks... SMASH! A picture falls off the nearby console. Jessica picks it up: ON SMASHED PHOTO Cal and Tracy. This is their house.,0297_0004
0297,0297_002,0297_015,0297_019,"It's okay, my fault.",0297_0005
0297,0297_003,0297_015,0297_021,"I don't care. I love him and given the opportunity, I'd have his babies.Seriously? Conan O'Brien? You'd do Conan O'Brien?I'm just saying, Richard's a lot of things: successful, smart...Boring, workaholic, sexually repressed...But he's not very funny, that's all.Yeah, well, you want funny, go watch `Cosby' reruns. You want a good lay, go get yourself some of... that. She motions off to the side.What?","0297_0006,0297_0007,0297_0008,0297_0009,0297_0010,0297_0011,0297_0012"
0297,0297_003,0297_021,0297_041,The hot piece that's been checking you out for the last hour.,0297_0013
0297,0297_004,0297_019,0297_041,"Aren't you going to say anything? Nothing. Almost twenty-five years of marriage, you have nothing to say? She looks at him. He turns to her, about to say something, then... stops himself. Turns back forward. It's silent. Devastating. CUT BACK TO:",0297_0014
0297,0297_005,0297_019,0297_021,"(THROUGH DOOR) I'm sorry, Robbie! I didn't see anything, I swear. BACK INSIDE ROOM Robbie lies there frozen, horrified.",0297_0018
0297,0297_005,0297_019,0297_037,"Hey, your sister's asleep, just checking you're alive -- She SCREAMS as --Close the door! BACK TO JESSICA who slams the door shut.","0297_0015,0297_0017"
0297,0297_006,0297_021,0297_053,"I'll go home with you, you can call me Hannah, I don't give a",0297_0046
0297,0297_006,0297_021,0297_041,"(whispering to him) Another time, maybe. GIGGLING, the girls leave the bar.",0297_0049
0297,0297_006,0297_016,0297_021,"He looks like a carrot, honey. Hannah LAUGHS. Hi.Hi. Who looks like a carrot?Conan O'Brien. My friend Hannah thinks he's sexy.Yes you do.Yes, she does.It is. So now I'm going to ask if I can buy you another drink. If you say yes, we'll have one more cocktail each -- just enough to start losing inhibitions, not enough to get sloppy, after all: I promised to satisfy you.Multiple times.","0297_0023,0297_0024,0297_0025,0297_0034,0297_0035,0297_0040,0297_0041"
0297,0297_006,0297_015,0297_021,"I don't know, Hannah. Your life is just so... PG-13. Hannah's mouth drops open.My life is not PG-13!It so is. You've never left LA. You pass the bar you're gonna be, what, a patent lawyer, probably married to that snooze-fest Richard. I just worry about you is all. Hell, you've resorted to fantasizing about Conan `Ginger- Dick' O'Brien.(ADORABLE) He's funny.Wow. She STANDS, grabs her coat and Liz's hand. Okay, time to go. Liz doesn't move.Liz!","0297_0019,0297_0020,0297_0021,0297_0022,0297_0045,0297_0048"
0297,0297_006,0297_015,0297_016,"I think your friend Hannah is sexy. Hannah LAUGHS.You didn't really just say that.Pretty sure I did.How old are you?Thirty-three next month.Then you should know by now that cheesy pick-up lines don't work. Jacob sits down at their table, uninvited.I find you incredibly sexy. It's a fact, not a cheesy pick-up line. There are many attractive women in this bar -- including your friend here -- and I've been unable to take my eyes off you, only you, for the past two hours. Again: not a cheesy pick-up line, just a fact.I don't.I'm an accomplished lover. If you come home with me, I am confident you will leave satisfied. Multiple times.You've got to be kiddi--We'll make love and it will be amazing. You'll laugh afterwards and say `I never do this kind of thing.' Then you'll do it again.Is that so?That's right. So, here we go, Hannah: can I buy you a drink? Hannah and Liz share a look.What do you expect me to say to that?Margarita, rocks, salt.","0297_0026,0297_0027,0297_0028,0297_0029,0297_0030,0297_0031,0297_0032,0297_0033,0297_0036,0297_0037,0297_0038,0297_0039,0297_0042,0297_0043,0297_0044"
0297,0297_006,0297_015,0297_053,HANNAH,0297_0047
