mid,sid,node_i,node_j,utterance,uid
0652,0652_000,0652_013,0652_027,"...and I swear to God, she was wrecked. It was pure insanity. (reading now) Pure lunacy. Oh God, I know...",0652_0001
0652,0652_000,0652_027,0652_039,"A1 We settle on a new car. A 1983 Dodge Riviera. In it is SEBASTIAN, 32, L.A. native. He's listening to the radio. He's playing a track on his music system -- a tape of Thelonious Monk's ""Japanese Folk Song"". But he keeps stopping it, over and over and over -- always rewinding to the same exact spot. Revision 2.",0652_0000
0652,0652_001,0652_013,0652_027,"This doesn't taste like almond milk.Don't worry, it is. I know sometimes it --","0652_0002,0652_0003"
0652,0652_001,0652_013,0652_040,Can I see the carton? I'll have a black coffee.,0652_0004
0652,0652_001,0652_026,0652_027,Shit.Where do you think you're going?It's -- five past...You'd better be here early tomorrow.,"0652_0008,0652_0009,0652_0010,0652_0011"
0652,0652_001,0652_026,0652_040,"Cappuccino, please.On us.","0652_0005,0652_0006"
0652,0652_001,0652_027,0652_027,Ok.,0652_0012
0652,0652_001,0652_027,0652_040,"No, I insist.",0652_0007
0652,0652_002,0652_010,0652_027,"And I swear to God, she was wrecked. It was pure lunacy. Oh God, I know... Revision 4. No, no, Turner's fine. So you -- are you waiting `til Denver to tell her...? (crying now) No, I'm happy for you... I -- I just --",0652_0013
0652,0652_002,0652_010,0652_037,One second. ...I'll call her back. Tell her I'm almost done in here. You know what? I think we're good. Thanks for coming in.,0652_0014
0652,0652_004,0652_001,0652_027,"I wanted to give you an entrance.(appearing in the hall, 26, eating Cheetos)Eh...Same here. Was Jen there? Or Rachel?I don't know who Jen and Rachel are.They're the worst.I don't know if they were there.","0652_0016,0652_0017,0652_0018,0652_0019,0652_0020,0652_0021,0652_0022"
0652,0652_004,0652_001,0652_037,"I bet they were. Revision 6.Exactly. Fun.Come on, Mia. When else do you get to see every Hollywood cliché crammed into a single home?","0652_0023,0652_0031,0652_0033"
0652,0652_004,0652_027,0652_037,"Holy Mother of God. Ever heard of a vent?Two minutes, people! Mia you're coming, right?Can't. Working.What?(opening up) Yes?Look, I know things didn't go well today. There are four things in my inbox that you're perfect for and I will submit you. But right now -- you're coming. It'll be fun.It'll be a bunch of social climbers packed into one of those glass houses.(faux-offended) Lex! I'm disappointed in you. There's nothing to make fun of. This party will be humanity at its finest.","0652_0015,0652_0025,0652_0026,0652_0027,0652_0028,0652_0029,0652_0030,0652_0034"
0652,0652_009,0652_027,0652_033,No... No...,0652_0035
0652,0652_013,0652_007,0652_033,I'm a phoenix rising from the ashes!,0652_0072
0652,0652_013,0652_025,0652_033,"You gotta stop breaking into my home.You think Mom or Dad would call this a home?Please don't sit on that.Are you serious?Yes. Hoagy Carmichael sat on that stool. The Baked Potato was gonna throw it away.I wonder why.Don't need it.Yeah? What if I told you Miles Davis pissed on it?That's almost insulting...When are you going to unpack these boxes?When I unpack them in my club.Oh my God. It's like a girl broke up with you and you're stalking her.No. They've turned it into a tapas-samba place. You believe that?Seb --Who wants to tapas while they samba?I have someone I want you to meet.I don't want to meet anyone.You'll like her.Uh-huh. Does she like jazz?Probably not.Then what are we gonna talk about?You'll talk about the weather.Ok. Then I have someone I'd like you to meet. He's got a face tattoo, but a heart of gold. Revision 12.Sebastian --How long's it been?You need to get serious. You live like a hermit. You're driving without insurance.I am serious. I had a very serious plan for my future. It's not my fault I got Shanghai'ed.You did not get ""Shanghai'ed"", you got ripped off.What's the difference?It's not as romantic as that.Why do you say romantic like it's a dirty word?Unpaid bills are not romantic. Call her.You're acting like life's got me on the ropes -- what you don't understand is, I want to be on the ropes. I'm letting life hit me `til it gets tired. Then I'm gonna make my move. It's a classic rope-a-dope.I love you. Unpack your boxes.I'm changing the locks. Revision 13.(out the door with a smile --) You can't afford it.","0652_0036,0652_0037,0652_0038,0652_0039,0652_0040,0652_0041,0652_0042,0652_0043,0652_0044,0652_0045,0652_0046,0652_0047,0652_0048,0652_0049,0652_0050,0652_0051,0652_0052,0652_0053,0652_0054,0652_0055,0652_0056,0652_0057,0652_0058,0652_0059,0652_0060,0652_0061,0652_0062,0652_0063,0652_0064,0652_0065,0652_0066,0652_0067,0652_0068,0652_0069,0652_0070,0652_0071"
0652,0652_015,0652_007,0652_033,"Seb.(putting on a smile) Bill. Thanks for having me back.Your welcome. Stick to the set list. Revision 14.Of course. (under his breath as he heads to the piano)I do, and I don't want to hear the free jazz.There's a nice way to say that.","0652_0073,0652_0074,0652_0075,0652_0076,0652_0077,0652_0080"
0652,0652_015,0652_033,0652_033,"How `bout one for you, one for me? Or two for you, one for me?",0652_0078
0652,0652_016,0652_007,0652_027,"(leans in, and --) Do you think anyone here gives a shit?",0652_0085
0652,0652_016,0652_007,0652_033,"...every goddamned night.I'll stick to the set list, I promise --Too late. You're done.You're not gonna find a better player. You know that.","0652_0081,0652_0082,0652_0083,0652_0084"
0652,0652_016,0652_027,0652_027,"I just wanted to say -- I saw your playing, and I --",0652_0086
0652,0652_017,0652_027,0652_027,"I don't like the fissure on the GT scan. Did you test for achromatopsia? D.O.A. on 23rd, perp laughing his face off at P.D. Damn Miranda Rights. This is my classroom. You don't like it, the door's to my left.",0652_0088
0652,0652_017,0652_027,0652_037,"No, Jamal. You be trippin'.",0652_0090
0652,0652_018,0652_009,0652_027,"(shrugs, faux-modest) They say I have a knack for world-building.",0652_0092
0652,0652_018,0652_009,0652_037,"There you are! You need to meet someone! Carlo, this is Mia. Mia, Carlo's a writer. CARLO TRACY",0652_0091
0652,0652_018,0652_027,0652_034,"(takes this in; then --) Congratulations. I have to grab a drink... Revision 17.Alright, one more for y'all before we break. Do I hear any requests?""I Ran"".","0652_0093,0652_0094,0652_0095"
0652,0652_018,0652_033,0652_034,"""I Ran"" it is. I walked along the avenue...",0652_0096
0652,0652_019,0652_033,0652_034,"Oh, you're a barista. Well now I see how you can look down on me from all the way up there.(popping in from nowhere) Sebastian. Second set.Mia. Guess I'll see you in the movies.","0652_0109,0652_0110,0652_0115"
0652,0652_019,0652_009,0652_034,Never seen you lookin' so lovely as you did tonight...,0652_0116
0652,0652_019,0652_027,0652_033,"Ok. I remember you. And I'm sorry if I was curt that night.""Curt""?Ok I was an asshole. I can admit that. Revision 18.Ok.But requesting ""I Ran"" from a serious musician -- it's too far.My God. Did you just call yourself ""a serious musician""?(beat) I don't think so.Can I borrow what you're wearing?Why?Because I have an audition next week. I'm playing a serious fire-fighter.(irritation building --) So you're an actress. That makes sense. Have I seen you in anything?Uh... The coffee shop on the Warner Brothers lot. That's a classic.He doesn't tell me what to do.He just told you what to do.I let him. Revision 19. What's your name?Mia.","0652_0097,0652_0098,0652_0099,0652_0100,0652_0101,0652_0102,0652_0103,0652_0104,0652_0105,0652_0106,0652_0107,0652_0108,0652_0111,0652_0112,0652_0113,0652_0114"
