mid,sid,node_i,node_j,utterance,uid
0883,0883_000,0883_003,0883_005,"(off-screen) ""As you wish"" was all he ever said to her.(off-screen) That day, she was amazed to discover that when he was saying, ""As you wish,"" what he meant was, ""I love you."" (off-screen) And even more amazing was the day she realized she truly loved him back.(off-screen) She went into her room and shut the door. And for days, she neither slept nor ate.(no emotion at all in her voice)","0883_0002,0883_0005,0883_0020,0883_0021"
0883,0883_000,0883_003,0883_018,Farm boy. Polish my horse's saddle. I want to see my face shining in it by morning.Farm Boy. Fill these with water --(pointing to a pitcher that she could reach herself)I fear I'll never see you again.Of course you will.But what if something happens to you?Hear this now: I will come for you.But how can you be sure?,"0883_0000,0883_0003,0883_0006,0883_0012,0883_0013,0883_0014,0883_0015,0883_0016"
0883,0883_000,0883_003,0883_020,(off-screen groaning) I don't be-leeve this.,0883_0011
0883,0883_000,0883_005,0883_018,"(quietly, watching her) As you wish.As you wish.As you wish.This is true love. You think this happens every day?","0883_0001,0883_0004,0883_0007,0883_0017"
0883,0883_000,0883_005,0883_020,"-- wait, just wait ---- well, when does it get good?Keep your shirt on. Let me read. (off-screen reading) It was a very emotional time for Buttercup --(off-screen reading) Westley didn't reach his destination. His ship was attacked by the Dread Pirate Roberts, who never left captives alive. When Buttercup got the news that Westley was murdered --(off-screen, perking up a little)","0883_0008,0883_0009,0883_0010,0883_0018,0883_0019"
0883,0883_001,0883_016,0883_020,We're back in the boat. Those are the Shrieking Eels.,0883_0070
0883,0883_001,0883_016,0883_016,"Whoever he is, he's too late --",0883_0080
0883,0883_001,0883_008,0883_016,"Then there will be no one to hear you scream-What is that you're ripping?(whirling on Fezzik) Am I going mad or did the word ""think"" escape your lips? You were not hired for your brains, you hippopotamic land mass.I agree with Fezzik.(We only thought he was in a fury --now he's really getting mad) (to Inigo) -- when I found you, you were so slobbering drunk you couldn't buy brandy -- (now to Fezzik, who retreats as much as he can while Vizzini advances)(whirling on them) Enough of that.(to Inigo) We'll reach the Cliffs by dawn. Why are you doing that?Making sure nobody's following us.Of all the necks on this boat, Highness, the one you should be worrying about is your own. Stop doing that. We can all relax, it's almost over-You're sure nobody's following us?As I told you, it would be absolutely, totally, and in all other ways, inconceivable. No one in Guilder knows what we've done. And no one in Florin could have gotten here so fast. Out of curiosity, why do you ask?No reason. It's only, I just happened to look behind us, and something is there.What? (explaining with as much logic as he can muster) Go in, get after her!Put her down. Just put her down.pointing behind them. I think he's getting closer.Look! He's right on top of us. I wonder if he is using the same wind we are using.","0883_0027,0883_0028,0883_0035,0883_0036,0883_0037,0883_0044,0883_0049,0883_0050,0883_0053,0883_0054,0883_0055,0883_0056,0883_0057,0883_0075,0883_0076,0883_0079"
0883,0883_001,0883_005,0883_016,"(off-screen) Buttercup's emptiness consumed her. Although the law of the land gave Humperdinck the right to choose his bride, she did not love him. (off-screen) Despite Humperdinck's reassurance that she would grow to love him, the only joy she found was in her daily ride.Do you know what that sound is, Highness? Those are the Shrieking Eels -- if you doubt me, just wait. They always grow louder when they're about to feed on human flesh. If you swim back now, I promise, no harm will come to you. I doubt you will get such an offer from the Eels.(reading) ""Do you know what that sound is, Highness?""(off-screen) All right, all right, let's see. Uh, she was in the water, the Eel was coming after her. She was frightened. The Eel started to charge her. And then -","0883_0024,0883_0062,0883_0069,0883_0074"
0883,0883_001,0883_005,0883_006,"(off-screen reading) Five years later, the main square of Florin City was filled as never before to hear the announcement of the great Prince Humperdinck's bride-to be.(raises his hands, starts to speak) My people ... the Princess Buttercup!!","0883_0022,0883_0023"
