mid,sid,node_i,node_j,utterance,uid
0932,0932_001,0932_032,0932_032,A dog of the house of Capulet moves me!,0932_0000
0932,0932_004,0932_008,0932_032,"'Tis true; and therefore women, being the weaker vessels, are ever thrust to the wall. Therefore, I will push Capulet's men from the wall, and thrust his maids to the wall.The quarrel is between our masters...","0932_0003,0932_0004"
0932,0932_004,0932_032,0932_072,A dog of that house shall move me to stand. I will take the wall of any man or maid of Capulets.That shows thee a weak slave. For the weakest goes to the wall.(yelling after him) ...and us their men.,"0932_0001,0932_0002,0932_0005"
0932,0932_006,0932_032,0932_072,"I will show myself a tyrant. When I have fought with the men I will be civil with the maids, I will cut off their heads.The heads of the maids?Ay, the heads of the maids, or their maiden heads, take it in what sense thou wilt.They must take it in sense that feel it.","0932_0006,0932_0007,0932_0008,0932_0009"
0932,0932_008,0932_032,0932_072,Here comes of the House of Capulet.,0932_0010
0932,0932_010,0932_032,0932_072,Quarrel I will back thee.,0932_0011
0932,0932_010,0932_072,0932_072,Let us take the law of our sides. Let them begin.,0932_0012
0932,0932_012,0932_000,0932_072,I will bite my thumb at them; which is a disgrace to them if they bear it.,0932_0013
0932,0932_016,0932_000,0932_072,"Do you bite your thumb at us, sir?I do bite my thumb, sir.","0932_0014,0932_0015"
0932,0932_018,0932_000,0932_072,"Do you bite you thumb at us, sir?",0932_0016
0932,0932_018,0932_032,0932_072,"(sweating, murmurs to Gregory) Is the law on our side if I say ""Ay""?No.","0932_0017,0932_0018"
0932,0932_020,0932_000,0932_032,"Do you quarrel, sir?",0932_0020
0932,0932_020,0932_000,0932_072,"Quarrel sir, no sir.But if you do, sir, I am for you. I serve as good a man as you.No better?","0932_0021,0932_0022,0932_0023"
0932,0932_020,0932_032,0932_072,"No, sir, I do not bite my thumb at you, sir - but I do bite my thumb, sir!Well sir...","0932_0019,0932_0024"
0932,0932_022,0932_032,0932_072,Here comes our kinsman. Say better!,0932_0025
0932,0932_022,0932_012,0932_085,"Peace? I hate the word As I hate hell, all Montagues, and...",0932_0031
0932,0932_022,0932_000,0932_008,THOU LIEST! DRAW IF YOU BE MEN!,0932_0027
0932,0932_022,0932_000,0932_072,"YES SIR, BETTER!",0932_0026
0932,0932_022,0932_008,0932_085,"Part, fools! You know not what you do! Put up your swords!What, art thou drawn amoung these heartless hinds? Turn thee Benvolio.I do but keep the peace.","0932_0028,0932_0029,0932_0030"
0932,0932_030,0932_012,0932_056,(to a waiter) Give me my long sword!,0932_0032
0932,0932_032,0932_013,0932_056,What noise is this!Thou shalt not stir one foot to seek a foe!,"0932_0033,0932_0034"
0932,0932_032,0932_056,0932_085,"(shrugging her off) Hold me not, let me go!",0932_0035
0932,0932_033,0932_011,0932_011,"(over PA) Rebellious subjects, enemies to peace, Throw your mistempered weapons to the ground.",0932_0037
0932,0932_033,0932_011,0932_085,"Look upon thy death, Benvolio.",0932_0036
0932,0932_034,0932_011,0932_011,Throw your mistempered weapons to the ground!,0932_0038
0932,0932_039,0932_011,0932_011,"Three civil brawls, bred of an airy",0932_0041
0932,0932_039,0932_011,0932_013,"If ever you disturb our streets again, Your lives shall pay the forfeit of the peace.",0932_0044
0932,0932_041,0932_056,0932_071,Westward from this city side.,0932_0051
0932,0932_041,0932_013,0932_056,"Many a morning hath he there beenAway from light steals home my heavy son And private in his chamber pens himself, Shuts up his windows, locks fair daylight out And makes himself an artificial night.","0932_0048,0932_0050"
0932,0932_041,0932_008,0932_056,"Madam, underneath The Grove of",0932_0046
0932,0932_041,0932_008,0932_013,O where is Romeo? Saw you him today?,0932_0045
0932,0932_043,0932_056,0932_071,"Love is a smoke made with the fume of sighs; Being purged, a fire sparkling in lovers' eyes; Being vexed, a sea nourished with lovers' tears. What is it else? A madness most discreet, A choking gall and a preserving sweet.",0932_0052
0932,0932_044,0932_008,0932_056,Black and portentous must this humour prove Unless good counsel may the cause remove.,0932_0053
0932,0932_046,0932_008,0932_056,So please you step aside. I'll know his grievance or be much denied.Come Madam. Let's away.,"0932_0054,0932_0055"
0932,0932_047,0932_005,0932_071,"Farewell, my coz.",0932_0069
0932,0932_047,0932_008,0932_071,"Good morrow, cousin.Is the day so young?But new struck, Coz.Ay me! Sad hours seem long. Was that my father that went hence so fast?(GUILTY) It was. What sadness lengthens Romeo's hours?Not having that which having makes them short.In love?Out.Of love?Out of her favor where I am in love.Alas that love, so gentle in his view, Should be so tyrannical and rough in proof!Alas that love, whose view... What fray was here? (ANGRILY) Yet tell me not, for I have heard it all. Here's much to do with hate, but more with love. Why then, O brawling love, O loving hate, O anything, of nothing first create! O heavy lightness, serious vanity, Misshapen chaos of well-seeming forms, Feather of lead, bright smoke, cold fire, sick health, Still-waking sleep, that is not what it is! This love feel I, that feel no love in this! Dost thou not laugh?No, coz, I rather weep.","0932_0056,0932_0057,0932_0058,0932_0059,0932_0060,0932_0061,0932_0062,0932_0063,0932_0064,0932_0065,0932_0066,0932_0067,0932_0068"
0932,0932_048,0932_005,0932_008,"PULL BACK: Balthasar sleeps on the hood of a magnificent silver car. Three or four kids doze on the sidewalk. As Romeo approaches, they jump up and begin vigorously polishing the already gleaming car. Balthasar wakes. He springs off the hood, chases the kids away, then, producing a huge bunch of keys, opens the car door for Romeo. Benvolio intercepts Romeo at the car.",0932_0070
0932,0932_048,0932_008,0932_012,"I'll pay that doctrine, or else die in debt.",0932_0083
0932,0932_048,0932_008,0932_071,"Tell me in sadness, who is it that you love.In sadness, cousin, I do love...a woman.I aimed so near when I supposed you loved.A right good marksman; and she's fair I love.Rosaline!She'll not be hit with Cupid's arrow. She hath Dian's wit, And in strong proof of chastity lives well armed.Then she hath sworn that she will still live chaste?She hath; and in that sparing makes huge waste.Be ruled by me; forget to think of her.O, teach me how I should forget to think!By giving liberty unto thine eyes. Examine other beauties.Farewell. Thou canst not teach me to forget.","0932_0071,0932_0072,0932_0073,0932_0074,0932_0075,0932_0076,0932_0077,0932_0078,0932_0079,0932_0080,0932_0081,0932_0082"
0932,0932_049,0932_008,0932_012,"At my poor house, look to behold this night, Fresh female buds that make dark heaven light. Hear all; all see, And like her most whose merit most shall be. (a hearty slap) Come go with me!",0932_0091
0932,0932_049,0932_012,0932_012,"(checking him hard) And too soon marred are those so early made. Earth hath swallowed all my hopes but she; She is the hopeful lady of my earth. But woo her, gentle Paris, get her heart. My will to her consent is but a part, And she agreed, within her scope of",0932_0089
0932,0932_049,0932_012,0932_022,"But Montague is bound as well as I, In penalty alike; And 'tis not hard, I think, for me so old as we to keep the peace.Of honorable reckoning are you both, And pity 'tis you lived at odds so long. But now, my lord, what say you to my suit?But saying o'er what I have said BEFORE; My child is yet a stranger in theYounger than she are happy mothers made.","0932_0084,0932_0085,0932_0086,0932_0088"
0932,0932_050,0932_071,0932_080,"Not mad, but bound more than a madman is; Shut up in prison, kept without my food, Whipped and tormented. Good day, good fellow.",0932_0093
0932,0932_050,0932_008,0932_071,"(chalking his cue) Take thou some new infection to thy eye. And the rank poison of the old will die. Why, Romeo, art thou mad?",0932_0092
0932,0932_051,0932_008,0932_069,"Signor Placentio and his wife and daughters, Signor Martino, the Lady Widow Of Utruvio and her lovely nieces, Rosaline and Livia...",0932_0097
0932,0932_051,0932_069,0932_080,"Now I'll tell you without asking. The great Rich Capulet, holds an old accustomed feast;A fair Assembly.I Pray you sir can you read?","0932_0094,0932_0095,0932_0096"
0932,0932_052,0932_008,0932_071,"At this same ancient feast of CAPULET'S Sups the fair Rosaline; whom thou so loves, With all the admired beauties of Verona. Go thither, and with unattained eye Compare her face with some that I shall show, And I will make thee think thy swan a crow.",0932_0098
0932,0932_052,0932_030,0932_071,"I'll go along, no such sight to be shown. But to rejoice in splendour of mine own.",0932_0102
0932,0932_052,0932_069,0932_071,Rest you merry!,0932_0101
0932,0932_052,0932_069,0932_080,"If you be not of the house of Montagues, Come and crush a cup of wine!",0932_0100
0932,0932_052,0932_071,0932_080,One fairer than my love? The all-seeing sun Ne'er saw her match since first the world begun.,0932_0099
0932,0932_057,0932_030,0932_030,"Nurse, give leave awhile, we must talk in secret.",0932_0106
0932,0932_057,0932_030,0932_042,"(COOLLY) Madam, I am here. What is you will.",0932_0105
