mid,sid,node_i,node_j,utterance,uid
0938,0938_003,0938_018,0938_018,"Hey, Fisher, pick up. I have some column ideas I want to bounce off you. Not there? Okay. Listen I'm thinking of writing about those mind-numbing informercials that are always on. What do you think? Good idea, right? Boring, down to death, pointless -- It sucks. If you guys are here any longer, they're gonna make you sign a lease.",0938_0000
0938,0938_003,0938_018,0938_021,"Okay, I was also thinking I might write about... Excuse me. I was thinking of doing an article on limousines. What would you say to people who never had a chance to drive in a limo?I'm sorry, I don't know any people like that.","0938_0002,0938_0003"
0938,0938_004,0938_018,0938_027,When your t-shirts stop shrinking.,0938_0006
0938,0938_004,0938_018,0938_043,"(into phone) Fisher? Come on -- I know you're sitting there laughing at me. Pick up. I want to run an idea past you. (into phone) I just could use someone to toss it back and forth with for a few minutes, get the juice flowing, help me. I have an hour and twenty-seven minutes and fifty-two seconds. Hello?Hey, Ike, when are you going to put me in an article?","0938_0004,0938_0005"
0938,0938_005,0938_000,0938_018,"(as she exits) That's last minute man.Not as private as I thought. Kevin, you've got some napkins?Writing or wiping?... They're up, they're down. It's really fun making this list with you, but I've got a column to go write.","0938_0017,0938_0022,0938_0023,0938_0026"
0938,0938_005,0938_000,0938_027,"You know, for a good looking man, you strike out a lot.Ike.(undeterred) But you don't have a really superb idea! Well, there's a girl from my hometown you could write about.(to Man) Excuse me, we don't need any new ideas.","0938_0018,0938_0027,0938_0028,0938_0029"
0938,0938_005,0938_018,0938_027,"I've seen much worse. I said, I've seen much worse.Excuse me?The brush-off. I've witnessed far more treacherous and nefarious exits than that. At least she castigated you in private.Give me a pen.(throwing darts hard) Ah, come on. They deserve it. They love you, they hate you, they're hot, they're cold, they're high, they're low...She likes to dump grooms right at the altar. They call her ""The Runaway Bride"". She performed the travesty seven or eight times. Right at the altar she turns around and runs like hell. Bolts. Adios. Plows down the aisle, knocking old ladies out of her way like the running of the bulls at Pamplona. And guess what?I give up.She has the next victim all lined up. She's twirling another body on the spit. (beginning his story) Imagine if you will, a small town in Maryland...","0938_0019,0938_0020,0938_0021,0938_0024,0938_0025,0938_0030,0938_0031,0938_0032"
0938,0938_005,0938_018,0938_042,"So what's in store for us in tomorrow's column?I don't know yet. I'm kind of a last- minute man. Ideas don't flow until an hour or two before deadline.(interrupting) This is very interesting. You get your ideas for your column from life. You start up a conversation with a woman in a bar, attack her choice of reading material, try and get a rise out of her while you contemplate whether or not she's worth hitting on.No, I can't hit on you until I get an idea.That's flattering.No, you don't understand.I think I do understand. So my not responding to your baiting me will inspire one of those potential bitter diatribes you love to write about women and all the things we do to drive men crazy?(taken aback) I don't write bitter diatribes about women... very often.Only when the ideas aren't flowing, huh? Well, it was very nice to meet you, one-minute man.","0938_0008,0938_0009,0938_0010,0938_0011,0938_0012,0938_0013,0938_0014,0938_0015,0938_0016"
0938,0938_005,0938_027,0938_042,I see photos of a lot of dead writers on these walls. Got any living ones? I have a story to tell that could win one of them a Pulitzer.,0938_0007
0938,0938_006,0938_013,0938_018,"(reading) ""Today is a day of profound introspection, I have been accused of using this column to direct bitter diatribes at the opposite sex! This uncomfortable accusation has plunged me into at least fifteen minutes of serious reflection, from which I have emerged with the conclusion that, yes -- I traffic in female stereotypes.""",0938_0033
