mid,sid,node_i,node_j,utterance,uid
0991,0991_000,0991_018,0991_018,"What, are you kidding me? Sundays? I love Sundays. I live for Sundays. The whole family's together. Mom makes braciole. Dad puts the jersey on. We're all watching the game. Yeah, it drives me crazy, and yes, I was negative.",0991_0001
0991,0991_001,0991_001,0991_018,"You didn't even know that I loved it, Nikki, but I did. I just didn't appreciate it, or you, before."" I lost all that. I blew it. But you also blew it. We can get it back. We're gonna get it back. It's all gonna be better now. I'm better now and I hope you are, too. And I'm GONNA APPRECIATE--"" Hey, I'll be there in a minute, okay? I'll be there in a minute. That's true love.",0991_0002
0991,0991_004,0991_001,0991_018,"Yeah, that's when I had long hair. People say I talk about my hair too much. And it was just the way I wanted it, but he cut it back too far. He cut this side back too far trying to even it up. I didn't tell him to do that. I said, ""Just cut it the way you cut it....""",0991_0003
0991,0991_004,0991_002,0991_018,"Once you get in the right frame of mind, I think anything's possible. I think we get, we so often get caught in this state of negativity and it's a, it's a poison like nothing else. 4.",0991_0004
0991,0991_006,0991_002,0991_018,I don't want him to get used to the routine here. Eight months is already long enough.,0991_0005
0991,0991_008,0991_001,0991_018,"Mom, no, it'll be fine. It'll be fine.I guess everybody's leaving today! Hello, Mrs. S. An honor to finally meet you. Pat told me all about you, how God made you rich in character, and you're the mighty oak that holds the household together, and not to mention the lasagna you make on game day when the Birds play.","0991_0008,0991_0009"
0991,0991_008,0991_002,0991_018,"Hey, Mom. Can we give Danny a ride to North Philly?What? I don't understand.","0991_0006,0991_0007"
0991,0991_010,0991_018,0991_018,"All right, Mom, just hold on a sec.",0991_0022
0991,0991_010,0991_002,0991_018,"(TO DOLORES) He's obsessed with his hair.(into cell phone) Hello?It's good now.(into cell phone) What? Are you sure about that? I'll bring him back right away. You lied to me, Pat. Danny's not allowed to leave.","0991_0014,0991_0015,0991_0018,0991_0021"
0991,0991_010,0991_001,0991_018,"Danny was in for assault because of crystal meth and alcohol.Bad combination.Yeah. On top of an anxiety disorder.That was when I was an X-ray technician with my ADD and my anxiety. I had a lot of access to medication and I took advantage of it. That's when my hair was long, too. But my hair only grew when I was older. When I was younger, my hair didn't grow because my brother...(TO DANNY) It looks great now.You like it?","0991_0010,0991_0011,0991_0012,0991_0013,0991_0016,0991_0017"
0991,0991_010,0991_001,0991_002,"(into cell phone) Yes, it is.(as Pat touches hair) Wait, you're going the wrong way!","0991_0019,0991_0020"
0991,0991_011,0991_018,0991_018,(VOICE OVER) Let's just talk about this. 7.,0991_0023
0991,0991_012,0991_002,0991_018,"Mom, just listen--",0991_0024
0991,0991_013,0991_002,0991_002,Don't tou-...,0991_0025
0991,0991_014,0991_002,0991_002,...-ch the steering...,0991_0026
0991,0991_015,0991_002,0991_002,(VOICE OVER) ...wheel!,0991_0027
0991,0991_016,0991_002,0991_018,"Pat, this whole thing was a mistake.I'm sorry, Mom. You okay?","0991_0028,0991_0029"
0991,0991_016,0991_001,0991_018,"It's my fault. Pat didn't know. Pat didn't know. He's my friend, so he was rootin' for me. I'm havin' a disagreement with the hospital, but we're working it out. Take me back to the hospital, but take Pat home, he's fine. Trust me. You'll see, he's fine. It's my fault.",0991_0031
0991,0991_016,0991_001,0991_002,I am out on a limb for you with the courts right now.,0991_0030
0991,0991_017,0991_018,0991_022,"Mom, can we stop at the library? I wanna read Nikki's entire English high school syllabus. Mom, it's a good thing. I'm remaking myself.",0991_0032
0991,0991_017,0991_022,0991_022,DeSean Jackson. What happened to DeSean Jackson?,0991_0033
0991,0991_018,0991_022,0991_022,"RANDY Come on, tell me that one. PAT SR. It's insanity. He spikes the ball at the one yard line. The one- fucking-yard line. I mean, get into the end zone, dummy. I mean, he celebrates before he's even in! You know something? It's nothing new. Your team does that all the time. They get close... ...and then they blow it. They got an inferiority complex. Because we are, we're America's Team. PAT SR. You should be ashamed of yourself. We're in Philadelphia, what's the matter with you? You're a fucking traitor. What's more American than a cowboy? PAT SR. You know what's more American? What? PAT SR. Benjamin Franklin, that's what's more American. Benjamin Franklin? PAT SR. Benjamin Franklin. The founder of our country, here in Philadelphia. You mean the guy with the...",0991_0034
0991,0991_019,0991_022,0991_022,"...little glasses and the long scraggly hair? 10. PAT SR. What about the lightning with the kite? He stood in the storm with a kite. If he wasn't on the hundred dollar bill, nobody... ...would even know who he is. I didn't even touch `em. Why are you--, don't blame me. PAT SR. Who did this? Who took, who took, who took the...",0991_0035
0991,0991_020,0991_002,0991_018,"(awkward, unsure) Mm-hmm. PAT SR. Ahh. It's right here. PAT SR. You got it. Ahh, well, we got that. We don't want them to steal that. You still got yours? PAT SR. Yeah, I got mine.Well, he's ready. Look at him.You didn't tell Dad you were picking me up?Don't worry about that. PAT SR. I wanna make sure when you come out that you're okay, and she didn't The court said yes. Don't worry. 12. PAT SR. Yeah, but what did the doctor say? Because the, the court listens to the doctor.Dad, relax. The court said it's fine, okay? Let it go.Don't worry.Dad, I'm in there because of the court. That's the agreement that we made months ago. It was a plea bargain with the courts. The lawyer, he instructed me, he said that what we should plead that, and then I would serve eight months and then I'd get out. PAT SR. Yeah, no, I just--It's all under control. PAT SR. Well...okay, okay. Congratulations.Thank you. So what are you doing with yourself? PAT SR. You know, I'm gonna start a restaurant. How you gonna pay for it? PAT SR. I'm gonna pay for it, don't worry about it. 13. From your bookmaking? PAT SR. Mom told me. Outside.I did not. No, I didn't.","0991_0037,0991_0038,0991_0039,0991_0040,0991_0043,0991_0044,0991_0045,0991_0046,0991_0047,0991_0048"
0991,0991_020,0991_018,0991_018,"Yeah, and the court said-- PAT SR. The court listens to the doctor,You just told me outside, Mom, what are you talking about? Five minutes ago, we were walking up the stairs, you said, ""Don't say anything, but Dad lost his job and he's bookmaking."" PAT SR. Good, Dad. Good. PAT SR. What am I gonna do? I'm getting in shape, I'm getting trim, I'm getting really fit for Nikki. I'm gonna read Nikki's teaching syllabus and get my old job back. PAT SR. Let me tell you something. You don't know anything about my marriage, okay, Dad? All right? Our marriage...we're very, very much in love, okay? Just like you two. PAT SR. What are you doing, Dad? You know what? Excelsior. Excelsior. PAT SR. What does that mean? It means you know what I'm gonna do, I'm gonna take all this negativity and use it as fuel and I'm gonna find a silver lining, that's what I'm gonna do. And that's no bullshit. That's no bullshit. That takes work and that's the truth.","0991_0041,0991_0049"
0991,0991_020,0991_018,0991_022,"No, I don't touch them. As a matter of fact, I don't know why you need so many. Hey, there she is! Look how beautiful! PAT SR. Hey.",0991_0036
0991,0991_028,0991_018,0991_018,What the fuck?!,0991_0050
0991,0991_029,0991_018,0991_018,(YELLING) Stupid fucking book!,0991_0051
0991,0991_030,0991_002,0991_018,"(YELLING) I just can't believe Nikki's teaching that book to the kids. I mean the whole time -- let me just break it down for you -- the whole time you're rooting for this Hemingway guy to survive the war and to be with the woman that he loves, Catherine Barkley...It's four o'clock in the morning, Pat. 16....and he does. He does. He survives the war, after getting blown up he survives it, and he escapes to Switzerland with Catherine. But now Catherine's pregnant. Isn't that wonderful? She's pregnant. And they escape up into the mountains and they're gonna be happy, and they're gonna be drinking wine and they dance -- they both like to dance with each other, there's scenes of them dancing, which was boring, but I liked it, because they were happy. You think he ends it there? No! He writes another ending. She dies, Dad! I mean, the world's hard enough as it is, guys. It's fucking hard enough as it is. Can't somebody say, ""Hey, let's be positive? Let's have a good ending to the story?""Pat, you owe us an apology.","0991_0052,0991_0053,0991_0054,0991_0055"
0991,0991_030,0991_018,0991_018,"Mom, for what, I can't apologize. I'm not gonna apologize for this. You know what I will do? I will apologize on behalf of Ernest Hemingway, because that's who's to blame here.",0991_0056
0991,0991_031,0991_002,0991_018,"I'm gonna go run now. I'll fix it when I get back. PAT SR. Fix it now.Get in the car, Pat. You have to go to therapy.I don't wanna go to therapy.You have to go. It's part of the deal. You can't live with us and not go.","0991_0059,0991_0060,0991_0061,0991_0062"
0991,0991_031,0991_018,0991_020,"I was reading. 17. PAT SR. Please. Do us a favor, don't read for a while.PAT SR. (CONT'D) What are you wearing a garbage bag for?","0991_0057,0991_0058"
0991,0991_032,0991_018,0991_018,"(INTERRUPTING)) Did Doctor Timbers put you up to this? Is there a speaker here? Is, is the speaker here? I'm sorry. I'm sorry. Okay...I'm sorry. I'll fix all this, okay?",0991_0069
0991,0991_032,0991_018,0991_024,"Is that song really playing?We have music sometimes. 18.That song is killing me. Could you please turn it off?I can't.What do you mean, you can't?I don't have the controls. I'm sorry, I--","0991_0063,0991_0064,0991_0065,0991_0066,0991_0067,0991_0068"
0991,0991_033,0991_018,0991_018,"That was a messed up thing you did, Doctor Patel. That's a messed up thing. I'm sorry, but that's.... DR. PATEL You can call me Cliff, please. Yeah, well, Cliff, that's not the way you're supposed to meet people, okay? Why don't you write that down in your, I don't know, your little book you write stuff down in. 19. DR. PATEL I'm sorry about that song. I just wanted to see if it was still a trigger for you. Bravo. It's a trigger. I'm not gonna take any meds, I should just tell you that right now. DR. PATEL You have to take medicine. No, I'm not gonna take any medicine. It makes me foggy-- DR. PATEL I don't want any meds, Doctor. Look, I am not the explosion guy, okay? My father is the explosion guy. I'm not that guy. He got kicked out of that stadium he beat up so many people at Eagles games, he's on the exclusion list. I had one incident. DR. PATEL One incident can change a lifetime. But I'm ready. I'm ready to take responsibility for my side of the street. She just needs to take responsibility for hers. DR. PATEL What's hers? What's hers? Are you joking? Let's go back to the incident. I come home from work after I",0991_0070
0991,0991_034,0991_018,0991_018,"(VOICE OVER) I left work early -- which I never do, by the way, but I got in a fight with Nancy, the high school",0991_0071
0991,0991_035,0991_018,0991_018,"...principal. I come home and what's playing but the song from my wedding. The song that you so charmingly played out here today for us. That's playing and I don't think anything of it. Which is odd, `cause I should have.",0991_0072
0991,0991_036,0991_018,0991_018,"(VOICE OVER) I come home, what do I see? I walk in the door and I see underwear and pieces of clothing and a guy's pants with his belt in it, and I walk up the stairs, and all...",0991_0073
0991,0991_037,0991_018,0991_018,"...ll of a sudden I see the DVD player, and on the D-...",0991_0074
0991,0991_038,0991_018,0991_018,"(VOICE OVER) ...-VD player is the CD and it's playing our wedding song, and then I look down and I see my wife's...",0991_0075
0991,0991_039,0991_018,0991_018,...panties on the ground and then-,0991_0076
0991,0991_040,0991_018,0991_018,(VOICE OVER) ...I look up and I see her naked in the shower...,0991_0077
0991,0991_041,0991_018,0991_018,"...and I think, ""Oh, that's kinda sweet, she's in the shower. What a perfect thing. I'm gonna find her and maybe I'll go in there. We never-...",0991_0078
0991,0991_042,0991_018,0991_018,"(VOICE OVER) ...fuck in the shower anymore. Maybe today we will."" I...",0991_0079
0991,0991_043,0991_018,0991_018,...pull the curtain back and there's the fucking history...,0991_0080
0991,0991_044,0991_018,0991_018,(VOICE OVER) ...-teacher with tenure. 22.,0991_0081
0991,0991_045,0991_018,0991_018,And you know what he says to me?,0991_0082
0991,0991_046,0991_018,0991_018,"(VOICE OVER) ""You should probably go."" That's what he says to me.",0991_0083
0991,0991_047,0991_002,0991_018,"So yeah, I snapped. I almost beat him to death. But now I get fucking chastised for it? I'm parallel to my father? I don't think so. DR. PATEL All right. Can you talk about something that you did, before or after? Yeah, about a week before the incident, I called the cops and I told them that my wife and the history guy were plotting against me by embezzling money from the local high school, which wasn't true. It was a delusion. And we later found out from the hospital that's because I'm, uh... DR. PATEL ...undiagnosed bipolar. Yeah. With mood swings and weird thinking brought on by severe stress, which rarely happens, thank God. And then the shower incident happened and that's when everything snapped, so I then realized that, oh, wow, I've been dealing with this my whole life. And without any supervision I've been doing it all on my own with no help and basically I've been white-knuckling it this whole time. 23. DR. PATEL That had to be hard. Yeah. It's a lot to deal with, especially when you don't know what the hell is happening, which I do now. Sort of.(O.S. PRELAP) Pat, you have to take your","0991_0084,0991_0085"
0991,0991_048,0991_002,0991_002,He says you're good...,0991_0093
0991,0991_048,0991_002,0991_018,"I can't, Mom. I can't.I will call them. They'll come for you.Why would you do that? You wouldn't do that. Why would you call them? PAT SR. What's up? I don't, I don't feel good when I'm on them, Mom. I don't feel good. I'm so much clearer without them. Mom, they make me bloated. I don't like the way it makes me look.You've gotta take your medication. PAT SR. Why don't you just take your medication?Come on, I'm doing it with my physicality. I've been workin' out, that's what I'm doin'. 24. PAT SR. Why is he wearing a garbage bag?Why are you wearing a garbage bag?To sweat. PAT SR. Sit down. We're seven minutes in, no score. Come on, help turn the juju around. I don't believe in juju, Dad. PAT SR. Come on, Mister Excelsior. You wanna be positive? Be positive. Sit down. All right, all right. PAT SR. Come on. For a second. I'll watch the beginning of the game.","0991_0086,0991_0087,0991_0088,0991_0089,0991_0090,0991_0091,0991_0092"
0991,0991_049,0991_002,0991_018,"..luck, honey.What's that in your hand? PAT SR. It's a... see? Handkerchief? PAT SR. Yeah. That's OCD. That's crazy. PAT SR. What OCD? I want my son to watch the game with me, so sue me.I'm making crabby snacks and homemades.","0991_0094,0991_0095,0991_0096"
0991,0991_049,0991_018,0991_025,I'm the reason? I don't think so. Mom. PAT SR.,0991_0097
0991,0991_050,0991_025,0991_025,Can I do..an interview for a school project on mental illness? PAT SR. No.,0991_0098
0991,0991_051,0991_002,0991_018,"Who's that? That's not Rick D'Angelo, is it?That's him.Is he the guy who's having the problem? PAT SR. People are stupid.Yeah, that's the one. PAT SR. They, they, they, they don't know what they're saying.No, you shut the door in his face. I'm going for a run. 27.","0991_0100,0991_0101,0991_0102,0991_0103,0991_0104"
0991,0991_051,0991_018,0991_025,It's for a school project! PAT SR. Don't pay any attention.,0991_0099
0991,0991_052,0991_002,0991_018,"Pat, don't look for Nikki! PAT SR. Take your camera and get out of here! Pat! PAT SR. Patty! Patty! Don't look for Nikki!",0991_0105
