mid,sid,node_i,node_j,utterance,uid
1104,1104_002,1104_000,1104_007,(heavy Russian accent) We are here.,1104_0000
1104,1104_003,1104_000,1104_007,"Come left a little. She's right in front of us, eighteen meters. Fifteen.",1104_0001
1104,1104_003,1104_000,1104_049,Do you see it? I don't see it... there!It still gets me every time.Is just your guilt because of estealing from the dead.,"1104_0002,1104_0003,1104_0004"
1104,1104_003,1104_007,1104_049,"Thanks, Tolya. Work with me, here. It still gets me every time... to see the sad ruin of the great ship sitting here, where she landed at 2:30 in the morning, April 15, 1912, after her long fall from the world above.You are so full of shit, boss.Dive nine. Here we are again on the deck of Titanic... two and a half miles down. The pressure is three tons per square inch, enough to crush us like a freight train going over an ant if our hull fails. These windows are nine inches thick and if they go, it's sayonara in two microseconds. Right. Let's go to work.Walkin' the dog. I'm in the sitting room. Heading for bedroom B-54.Stay off the floor. Don't stir it up like you did yesterday.I'm tryin' boss. I'm crossing the bedroom.Okay, I want to see what's under that wardrobe door. Easy, Lewis. Take it slow.Ooohh daddy-oh, are you seein' what I'm seein'?Oh baby baby baby.","1104_0005,1104_0006,1104_0007,1104_0008,1104_0009,1104_0010,1104_0011,1104_0012,1104_0013"
1104,1104_004,1104_007,1104_049,"Who's the best? Say it.Well, here it is, the moment of truth. Here's where we find out if the time, the sweat, the money spent to charter this ship and these subs, to come out here to the middle of the North Atlantic... were worth it. If what we think is in that same... is in that safe... it will be. Shit.You know, boss, this happened to Geraldo and his career never recovered.","1104_0014,1104_0017,1104_0018"
1104,1104_004,1104_049,1104_049,"You are, Lewis.(to the video cameraman) Get that outta my face.","1104_0015,1104_0019"
1104,1104_005,1104_010,1104_049,"You send out what I tell you when I tell you. I'm signing your paychecks, not 60 minutes. Now get set up for the uplink.The partners want to know how it's going?","1104_0020,1104_0021"
1104,1104_005,1104_049,1104_049,"How it's going? It's going like a first date in prison, whattaya think?! Hi, Dave? Barry? Look, it wasn't in the safe... no, look, don't worry about it, there're still plenty of places it could be... in the floor debris in the suite, in the mother's room, in the purser's safe on C deck... I'll be God damned.Yes, hi, Tracy. You know, Titanic is not just A shipwrick, Titanic is THE shipwreck. It's the Mount Everest of shipwrecks.","1104_0022,1104_0024"
1104,1104_006,1104_010,1104_069,I'll be God damned.,1104_0031
1104,1104_006,1104_049,1104_049,"I've planned this expedition for three years, and we're out here recovering some amazing things... things that will have enormous historical and educational value.",1104_0025
1104,1104_006,1104_049,1104_069,"I'd rather show you than tell you, and we think we're very close to doing just that.Turn that up please, dear.Nobody called the recovery of the artifacts from King Tut's tomb grave robbing. I have museum-trained experts here, making sure this stuff is preserved and catalogued properly. Look at this drawing, which was found today... ...a piece of paper that's been underwater for 84 years... and my team are able to preserve it intanct. Should this have remained unseen at the bottom of the ocean for eternity, when we can see it and enjoy it now...?","1104_0027,1104_0028,1104_0030"
1104,1104_007,1104_010,1104_049,"There's a satellite call for you.Bobby, we're launching. See these submersibles here, going in the water?No, trust me, you want to take this call.","1104_0032,1104_0033,1104_0034"
1104,1104_008,1104_007,1104_069,Oh yes. The woman in the picture is me.,1104_0041
1104,1104_008,1104_010,1104_049,"This is Brock Lovett. What can I do for you, Mrs... ?Rose Calvert.I told you you wanted to take this call.","1104_0035,1104_0036,1104_0039"
1104,1104_008,1104_010,1104_069,"I was just wondering if you had found the ""Heart of the Ocean"" yet, Mr.",1104_0038
1104,1104_008,1104_049,1104_069,"... Mrs. Calvert?(to Rose) Alright. You have my attention, Rose. Can you tell me who the woman in the picture is?","1104_0037,1104_0040"
1104,1104_010,1104_007,1104_010,She's a goddamned liar! A nutcase. Like that... what's her name? That Anastasia babe.They're inbound.,"1104_0042,1104_0043"
1104,1104_010,1104_007,1104_049,"She says she's Rose DeWitt Bukater, right? Rose DeWitt Bukater died on the Titanic. At the age of 17. If she'd've lived, she'd be over a hundred now.A hundred and one next month.Okay, so she's a very old goddamned liar. I traced her as far back as the 20's... she was working as an actress in L.A. An actress. Her name was Rose Dawson. Then she married a guy named Calvert, moved to Cedar Rapids, had two kids. Now Calvert's dead, and from what I've heard Cedar Rapids is dead.And everyobody who knows about the diamond is supposed to be dead... or on this ship. But she knows about it. And I want to hear what she has to say.","1104_0044,1104_0045,1104_0046,1104_0047"
1104,1104_011,1104_007,1104_049,"S'cuse me, I have to go check our supply of Depends.",1104_0048
1104,1104_012,1104_047,1104_069,"Yes. Very nice. Have you met my granddaughter, Lizzy? She takes care of me.Yes. We met just a few minutes ago, grandma. Remember, up on deck?","1104_0050,1104_0051"
1104,1104_012,1104_049,1104_069,"Is your stateroom alright?Oh, yes. There, that's nice. I have to have my pictures when I travel. And Freddy of course.Would you like anything?I should like to see my drawing.","1104_0049,1104_0052,1104_0053,1104_0054"
1104,1104_013,1104_047,1104_069,"It was a dreadful, heavy thing.You actually believe this is you, grandma?","1104_0056,1104_0057"
1104,1104_013,1104_047,1104_049,"Nathan Hockley, right. Pittsburgh steel tycoon. For a diamond necklace his son Caledon Hockley bought in France for his fiancee... you... a week before he sailed on Titanic. And the claim was filed right after the sinking. So the diamond had to've gone down with the ship.April 14, 1912.","1104_0061,1104_0062"
