nid,entity,freq,scene_count,gender,age,race
0020_000,ALISON,15,4,F,,
0020_001,AMANDA,9,1,F,,
0020_002,AUNT ANITA,5,1,F,,
0020_003,AUNT BETSY,6,1,F,,
0020_005,DOUCHE,13,1,M,,
0020_007,GIRL,29,6,F,,
0020_009,MAN,19,7,M,,
0020_010,MARTIN,2,2,M,,
0020_011,MCKENZIE,80,21,M,,
0020_012,NARRATOR,20,13,M,,
0020_013,PAUL,53,15,M,,
0020_014,RACHEL,49,10,F,,
0020_016,SARAH,10,2,F,,
0020_017,SUMMER,268,50,F,,
0020_018,TOM,513,110,M,,
0020_019,VANCE,26,5,M,,
0020_020,CO-WORKER,8,3,,,
0020_021,BOTH,3,3,,,
0020_023,ALL,8,8,,,
