nid,entity,freq,scene_count,gender,ager,race
0087_002,1ST MAN,17,2,M,,
0087_005,2ND MAN,7,2,M,,
0087_008,ACTOR,4,1,M,,
0087_009,ACTRESS,5,1,F,,
0087_010,ADULT ALVY,3,1,M,,
0087_012,ALLISON,21,2,F,,
0087_013,ALVY,602,67,M,,
0087_014,ANNIE,418,44,F,,
0087_016,CARTOON FIGURE ALVY,3,1,M,,
0087_017,CARTOON FIGURE ROB,3,1,M,,
0087_018,COMEDIAN,3,1,M,,
0087_019,COMIC,3,1,M,,
0087_020,DAD HALL,7,2,M,,
0087_022,DOCTOR,11,2,M,,
0087_024,DUANE,6,2,M,,
0087_027,GIRL,13,4,F,,
0087_028,GIRL DATE,4,1,M,,
0087_030,JANET,4,1,F,,
0087_031,JERRY,4,1,M,,
0087_034,MAN,64,11,M,,
0087_036,MOM HALL,13,2,F,,
0087_037,MOTHER,16,4,F,,
0087_039,OFFICER,3,1,,,
0087_041,REPORTER,12,2,,,
0087_042,ROB,88,14,M,,
0087_043,ROBIN,19,3,F,,
0087_044,TEACHER,5,1,,,
0087_045,TESSIE,3,1,F,,
0087_047,TONY,28,2,M,,
0087_049,VOICES,5,1,,,
0087_050,WICKED QUEEN,3,1,F,,
0087_051,WOMAN,11,6,F,,
0087_055,YOUNG WOMAN,4,2,F,,
0087_057,ALVY'S MOTHER,11,2,F,,
0087_058,ALVY'S UNCLE,3,1,M,,
0087_061,ALVY'S FATHER,10,2,M,,
0087_062,MAN ON THE STREET,4,2,M,,
0087_063,GIRL IN WHITE,4,1,F,,
0087_064,ICES,5,1,,,
0087_067,ROB ON TV SCREEN,3,1,M,,
0087_072,MAN IN LINE,14,1,M,,
0087_073,ALVY'S AUNT,3,1,F,,
