nid,entity,freq,scene_count,gender,age,profession
0297_007,BERNIE,22,8,M,,
0297_008,BOSS,5,1,M,,
0297_009,CAL,347,45,M,,
0297_010,CLAIRE,8,3,F,,
0297_011,DAVID JACOBOWITZ,20,4,M,,
0297_013,GIRL,17,6,F,,
0297_014,GUY,5,4,M,,
0297_015,HANNAH,88,15,F,,
0297_016,JACOB,205,28,M,,
0297_017,JACOB PALMER,2,2,M,,
0297_019,JESSICA,91,25,F,,
0297_020,KATE,36,7,F,,
0297_021,LIZ,23,6,F,,
0297_022,MADISON,20,1,F,,
0297_023,MOLLY,11,6,F,,
0297_024,NEW GIRL,4,2,F,,
0297_025,NEWER GIRL,3,1,F,,
0297_027,ON CAL,3,3,M,,
0297_029,ON HANNAH,2,2,F,,
0297_030,ON JACOB,4,4,M,,
0297_031,ON JESSICA,2,2,F,,
0297_035,POLICE OFFICER #1,3,1,,,
0297_036,RICHARD,16,2,M,,
0297_037,ROBBIE,108,19,M,,
0297_039,SALESMAN,7,3,M,,
0297_040,TIFFANY,7,2,F,,
0297_041,TRACY,125,23,F,,
0297_043,WAITRESS,7,2,F,,
0297_046,WOMAN,19,10,F,,
0297_048,YOUNG WOMAN,3,1,F,,
0297_053,CRAP --,2,2,,,
