nid,entity,freq,scene_count,gender,age,profession
0388_000,BLACK,2,2,,,
0388_003,CARRIE,23,9,F,,
0388_004,CLEMENTINE,320,54,F,,
0388_006,DISTRAUGHT WOMAN,2,2,F,,
0388_008,HOLLIS,4,2,F,,
0388_009,HOWARD,5,3,M,,
0388_010,JOE EARLY,3,1,M,,
0388_011,JOEL,387,96,M,,
0388_014,MAN,35,12,M,,
0388_016,MARY,111,26,F,,
0388_017,MIERZWIAK,70,18,M,,
0388_019,MOTHER,3,3,F,,
0388_020,NAOMI,31,7,F,,
0388_021,OLD MAN,7,3,M,,
0388_022,OLD WOMAN,15,7,F,,
0388_023,PATRICK,53,19,M,,
0388_025,RECEPTIONIST,7,2,,,
0388_027,ROB,7,5,M,,
0388_028,SAD WOMAN,4,2,F,,
0388_029,SECOND OLD WOMAN,7,6,F,,
0388_030,STAN,87,29,M,,
0388_032,WAITRESS,3,1,F,,
0388_035,ICE-OVER,42,23,,,
