nid,entity,freq,scene_count,gender,age,profession
0883_000,ALBINO,6,1,M,,
0883_001,ANCIENT BOOER,3,1,F,,
0883_002,ASSISTANT BRUTE,4,1,M,,
0883_003,BUTTERCUP,120,6,F,,
0883_004,FEZZIK,155,4,M,,
0883_005,GRANDFATHER,52,6,M,,
0883_006,HUMPERDINCK,76,5,M,,
0883_007,IMPRESSIVE CLERGYMAN,8,2,M,,
0883_008,INIGO,182,4,M,,
0883_009,KING,10,4,M,,
0883_011,MIRACLE MAX,30,1,M,,
0883_012,MOTHER,7,0,F,,
0883_013,QUEEN,4,3,F,,
0883_014,RUGEN,48,5,M,,
0883_015,VALERIE,14,1,F,,
0883_016,VIZZINI,81,2,M,,
0883_017,VOICE,3,2,,,
0883_018,WESTLEY,124,5,M,,
0883_019,YELLIN,21,3,M,,
0883_020,THE KID,48,6,M,,
0883_022,MAN IN BLACK,106,2,M,,
