nid,entity,freq,scene_count,gender
0932_000,ABRA,8,6,M
0932_004,APOTHECARY,5,2,M
0932_005,BALTHASAR,13,9,M
0932_006,BEAT,4,4,
0932_007,BED,9,9,
0932_008,BENVOLIO,46,19,M
0932_010,BOYS,2,2,M
0932_011,CAPTAIN PRINCE,18,9,M
0932_012,CAPULET,69,39,M
0932_013,CAROLINE,4,2,F
0932_017,COP,2,2,
0932_022,DAVE,16,5,M
0932_028,FATHER LAURENCE,45,16,M
0932_030,GLORIA,33,10,
0932_032,GREGORY,13,8,M
0932_042,JULIET,100,25,F
0932_043,KIN,4,4,
0932_045,LIES,2,2,
0932_047,MAN,28,28,M
0932_048,MANTUA,3,3,
0932_054,MERCUTIO,68,15,M
0932_056,MONTAGUE,16,8,M
0932_057,MORN,2,2,
0932_062,NURSE,40,13,F
0932_069,RICH,3,2,M
0932_071,ROMEO,152,39,M
0932_072,SAMPSON,14,10,M
0932_076,STARS,2,2,
0932_080,SUSAN,3,2,F
0932_085,TYBALT,21,8,M
0932_086,UNDERTAKE,2,2,M
