nid,entity,freq,scene_count,gender,age,profession
0938_000,BARTENDER,7,3,M,,
0938_001,BOB,54,11,M,,
0938_002,BRIAN,13,1,M,,
0938_003,CINDY,14,6,F,,
0938_005,CORY,4,3,M,,
0938_006,CROWD,6,4,,,
0938_007,DENNIS,7,4,M,,
0938_008,DINA NAPOLI,3,2,F,,
0938_011,ELAINE,7,3,F,,
0938_012,ELLIE,33,10,F,,
0938_013,FISHER,37,17,M,,
0938_014,GEORGE,13,2,M,,
0938_015,GILL,14,2,M,,
0938_017,GRANDMA JULIA,12,5,F,,
0938_018,IKE,304,60,M,,
0938_020,JULIE MURPHY,3,2,F,,
0938_021,LADY,5,4,F,,
0938_022,LEE,4,3,,,
0938_026,MAGGIE,318,65,F,,
0938_027,MAN,51,17,M,,
0938_030,MRS MURPHY,3,1,F,,
0938_031,MRS PRESSMAN,19,6,F,,
0938_032,MRS TROUT,20,3,F,,
0938_033,MRS WHITTENMEYER,11,1,F,,
0938_035,PEGGY,75,14,F,,
0938_037,POLLY,5,1,F,,
0938_038,PRIEST,3,1,M,,
0938_039,TED,2,2,,,
0938_040,VOICE,3,2,M,,
0938_041,WALTER,25,6,M,,
0938_042,WOMAN,10,5,F,,
0938_043,T-SHIRT VENDOR,2,2,,,
0938_045,ICE,10,8,,,
