nid,entity,freq,scene_count,gender,age,profession
0991_000,COP,4,2,M,,
0991_001,DANNY,95,14,M,,
0991_002,DOLORES,164,59,F,,
0991_003,EMCEE,10,3,,,
0991_004,FAN #1,12,1,,,
0991_006,GUY #1,3,2,M,,
0991_008,GUY #2,4,2,M,,
0991_009,INDIAN MAN,5,1,M,,
0991_010,JAKE,46,11,M,,
0991_011,JORDIE,12,2,M,,
0991_014,MAN,12,8,M,,
0991_015,NANCY,19,2,F,,
0991_016,NIKKI,27,11,F,,
0991_017,OFFICER KEOGH,42,9,M,,
0991_018,PAT,1290,156,M,,
0991_020,PAT GROANS,2,2,M,,
0991_022,RANDY,55,14,M,,
0991_023,RANDY LAUGHS,2,2,M,,
0991_024,RECEPTIONIST,5,1,,,
0991_025,RICKY,8,6,M,,
0991_027,RONNIE,141,18,M,,
0991_029,SPECTATORS APPLAUD,8,4,,,
0991_031,SPORTS ANNOUNCER,2,2,,,
0991_032,TIFFANY,457,46,F,,
0991_033,TIFFANY LAUGHS,2,2,F,,
0991_034,TIFFANY TURNS,8,5,F,,
0991_035,VERONICA,58,9,F,,
0991_036,WAITRESS,10,3,F,,
0991_039,TIFFANY'S FATHER,5,1,M,,
0991_043,AND DIALOGUE),2,2,,,
0991_046,TIFFANY'S MOTHER,6,3,M,,
0991_049,I--,2,2,,,
