nid,entity,freq,scene_count,gender,age,profession
1082_000,BARMAN,8,1,M,,
1082_001,BEDDER,5,2,F,,
1082_002,BERYL,23,2,F,,
1082_003,BRIAN,95,18,M,,
1082_004,CARTER,7,6,M,,
1082_006,DIANA,16,2,F,,
1082_007,ELAINE,42,9,F,,
1082_008,ELLIS,7,6,M,,
1082_009,ENDS,6,4,,,
1082_012,FRANK HAWKING,19,6,M,,
1082_017,GUEST 5,5,1,,,
1082_018,ISOBEL,12,4,F,,
1082_019,JANE,426,83,F,,
1082_021,JOHN TAYLOR,4,2,M,,
1082_022,JONATHAN,116,22,M,,
1082_024,KHALATNIKOV,4,1,M,,
1082_025,KIP THORNE,9,3,M,,
1082_026,PENROSE,13,2,M,,
1082_027,PHILLIPA,4,1,F,,
1082_028,REES,12,7,M,,
1082_029,ROBERT,19,12,M,,
1082_030,ROGER PENROSE,11,2,M,,
1082_031,SCIAMA,85,21,M,,
1082_032,SENIOR DOCTOR,8,1,M,,
1082_033,STEPHEN,527,110,M,,
1082_034,STEPHEN HAWKING,3,1,M,,
1082_035,SWISS DOCTOR,6,1,M,,
1082_036,TECHNICIAN,10,1,M,,
1082_047,STEPHEN),9,4,M,,
