nid,entity,freq,scene_count,gender,age,profession
1104_000,ANATOLY,4,3,M,,
1104_001,ANDREWS,28,13,M,,
1104_004,BARRETT,4,1,M,,
1104_005,BELL,4,3,M,,
1104_006,BJORN,3,2,M,,
1104_007,BODINE,30,12,M,,
1104_008,BRIDE,7,5,M,,
1104_009,BROCK,9,3,M,,
1104_010,BUELL,9,6,M,,
1104_011,CAL,109,40,M,,
1104_013,CAPTAIN SMITH,5,4,M,,
1104_016,CHIEF ENGINEER BELL,2,2,M,,
1104_018,COLONEL GRACIE,3,3,M,,
1104_020,DANIEL,3,3,M,,
1104_021,EVANS,3,1,F,,
1104_022,FABRIZIO,24,9,M,,
1104_023,FATHER BYLES,4,1,M,,
1104_025,FIRST OFFICER MURDOCH,3,3,M,,
1104_026,FLEET,12,4,,,
1104_028,GRACIE,11,5,M,,
1104_030,GUGGENHEIM,2,2,M,,
1104_031,HARTLEY,7,5,M,,
1104_032,HELGA,3,2,F,,
1104_033,HITCHINS,6,4,M,,
1104_034,HUSBAND,3,1,M,,
1104_035,HUTCHINSON,3,2,M,,
1104_036,IDA,3,1,F,,
1104_039,IRISHWOMAN,2,2,F,,
1104_041,ISMAY,19,9,M,,
1104_042,JACK,200,54,M,,
1104_043,JOUGHIN,2,2,M,,
1104_044,LEE,16,4,M,,
1104_045,LIGHTOLLER,19,8,M,,
1104_047,LIZZY,17,8,F,,
1104_048,LOVEJOY,21,16,M,,
1104_049,LOVETT,60,15,M,,
1104_050,LOWE,10,7,M,,
1104_053,MAN,34,23,M,,
1104_054,MARVIN,6,3,M,,
1104_056,MOLLY,32,16,F,,
1104_057,MOLLY BROWN,3,3,F,,
1104_058,MOODY,7,2,M,,
1104_059,MOTHER,3,3,F,,
1104_060,MURDOCH,18,9,M,,
1104_062,OLD ROSE,20,15,F,,
1104_063,OPERATOR,3,3,M,,
1104_064,PHILLIPS,5,2,M,,
1104_065,PORTER,5,2,M,,
1104_067,PURSER MCELROY,2,2,M,,
1104_069,ROSE,289,84,F,,
1104_070,ROWE,6,2,M,,
1104_071,RUTH,33,14,F,,
1104_074,SIR COSMO,2,2,M,,
1104_075,SMITH,32,12,M,,
1104_076,STEWARD,29,17,,,
1104_078,STEWARD #2,5,3,,,
1104_079,STEWARD BARNES,4,3,,,
1104_082,TOMMY,12,7,M,,
1104_083,TRANSITION,4,4,,,
1104_084,TRUDY,4,3,F,,
1104_086,WOMAN,15,12,F,,
